周	代名也周至也遍也備也今名書義取周普
切近	如字徐巨靳反鄭云切急也
貫魚	古亂反徐音官穿也
駢頭	薄田反
得輿	音餘京作德輿董作德車
廬	力居反
覆䕃	於鴆反
所芘	本又作庇必利反又悲備反
䷗復	音服反也還也坤宫一世卦
朋來	如字京作萠
反復	芳福反劉本同本又作覆※并注反復皆同
剛反	絶句
剛長	丁丈反下文注皆同
心見	賢遍反
具存	本亦作其存
商旅	鄭云資貨而行曰商旅客也
无祗	音支辭也馬同音之是反韓伯祁支反云大也鄭云病也王肅作禔時支反陸云禔安也九家本作㩼字音支
幾悔	音機下同又音祈
患難	乃旦反
逺矣	𡊮万反
錯之	七故反
休復	虚虬反
最比	毗志反
仁行	下孟反
下仁	遐嫁反
以下仁也	如字王肅云下附於仁徐戸嫁反
頻復	如字本又作嚬嚬眉也鄭作顰音同馬云憂頻也
頻戚	干寂反下同憂也又子六反
自考也	鄭云考成也向云察也
有灾	本又作災鄭作烖案※文烖正字也灾或字也災籕文也
眚	生領反下卦同子夏傳云傷害曰災妖祥曰眚鄭云異自内生曰眚自外曰祥害物曰災
量斯	音良
雖復	扶又反
䷘无妄	亡亮反无妄无虚妄也※文云妄亂也馬鄭王肅皆云妄猶望謂无所希望也巽宫四世卦
柔邪	似嗟反
不佑	音又鄭云助也本又作祐馬作右謂天不右行
茂對時	茂盛也馬云茂勉也對配也
下賤	遐嫁反
不耕穫	黃郭反或依注作不耕而穫非下句亦然
不葘	側其反馬云田一歳也董云反草也
畬	音餘馬曰田三歳也董云悉耨曰畬※文云二歳治田也字林弋恕反
不擅	市戰反
行違	下孟反下之行同
稼	音嫁
穡	音色
爲獲	如字或作穫非
比	毗志反
近	附近之近
可試	試驗一云用也
䷙大畜	本又作蓄勑六反義與小畜同艮宫二世卦
大畜剛健	絶句
篤實煇	音輝
光	絶句
日新其德	鄭以日新絶句其德連下句
厭而	於豔反
夫能	音符發句皆然下非夫同
令賢	力呈反下同
險難	乃旦反下遇難同
多識	如字又音試劉作志
往行	下孟反
利巳	夷止反下及注巳則能己同或音紀姚同
輿	音餘下同本或作轝音同
※	吐活反注及下同馬云解也
輹	音服又音福蜀才本同或作輻一云車旁作复音服車下縛也作畐者音福老子所云三十輻共一轂是也釋名云輹似人屐又曰伏菟在軸上似之又曰輹伏於軸上
馮河	皮冰反
良馬逐	如字鄭本作逐逐云兩馬走也姚云逐逐疾並驅之貌一音胄
曰	音越劉云曰猶言也鄭人實反云日習車徒
閑	如字閡也馬鄭云習
險阨	於革反本亦作厄
童牛	無角牛也廣蒼作犝劉云童妾也
牿	古毒反劉云牿之言角也陸云牿當作角九家作告※文同云牛觸角著橫木所以告人
抑銳	於力反下同本又作挫災臥反
強	其良反
爭	爭𨷖之爭
豶	符云反劉云豕去勢曰豶
之牙	徐五加反鄭讀爲互
剛暴	一本作剛突
禁暴	音金
何天	音河梁武帝音賀
衢	其俱反馬云四達謂之衢
亨	許庚反
䷚頤	以之反養也此篆文字也巽宫遊魂卦
舎爾	音捨注同
朶	多果反動也鄭同京作椯
嚼	詳略反
令物	力呈反
離其	力智反
而闚	苦規反
顚頤	丁田反
拂	符弗反違也薛同注下皆同一音敷弗反子夏傳作弗云輔弼也
此行	下孟反下立行同
悖也	布内反逆也
虎視	徐市土反又常止反
眈眈	丁南反威而不猛也馬云虎下視貌一音大南反
逐逐	如字敦實也薛云速也子夏傳作攸攸志林云攸當爲逐蘇林音迪荀作悠悠劉作跾云逺也※文跾音式六反
