周	代名也周至也遍也備也今名書義取周普
施令	力政反下同
競争	爭鬭之爭
治也	直吏反注同
説隨	音悦
創制	初亮反此俗字也依字作剏
復始	扶又反
以振	舊之慎反濟也師讀音真振振仁厚也
育徳	王肅作毓古育字
有子考无咎	絶句周依馬王肅以考絶句
當事	丁堂反
盡承	津忍反下皆同
裕父	羊樹反馬云寛也
不累	劣偽反
䷒臨	如字序卦云大也坤宫二世卦
剛浸	子鴆反
而長	丁丈反除六三注末及象咎不長皆同一音此治良反
說而	音恱下同
敎思	息吏反注同
无疆	居良反注同
剛勝升證反下同佞邪	似嗟反下同
媚	密備反
位當也	本或作當位實非也
知臨	音智注同又如字
䷓觀	官喚反示也乾宫四世卦
盥	音管
而不薦	王又作※同牋練反王肅本作而觀薦
顒	魚恭反
足復	扶又反
既灌	官喚反
不忒	吐得反
神道設敎	一本作以神道設敎
省方	悉井反
童觀	馬云童猶獨也鄭云稚也
最逺	逺万反
朝美	直遥反
所鑒	古暫反下同
趣	促裕反
闚	苦規反本亦作窺
者狹	戸夾反
象曰闚觀女貞	一本有利字
不比	毗志反
觀國之光	如字或音官喚反
最近	附近之近
居近	如字
徳見	賢遍反
平易	以豉反
盡夫觀盛故觀至大觀在上	王肅音官
以觀天下	徐唯此一字作官音
觀盥而不薦觀之為道而以觀感風行地上觀處於觀時君子處大觀之時處大
觀之時大觀廣鑒	亦音官
居觀之時為觀之主觀之盛也從盡夫觀以下並官喚反餘不出者並音官周易上經噬嗑傳第三
䷔噬	市制反齧也
嗑	胡臘反合也巽宫五世卦
齧	研節反
有間	如字下同又音間厠之間
與過	一本作有過
頤	以之反
不合	本又作而合
不溷	胡困反濁也雜也亂也韋昭云汙辱也
上行	時掌反注同
勑法	恥力反此俗字也字林作※鄭云勑猶理也一云整也
屨	紀具反
校	爻敎反注及下同馬音敎
滅止	本亦作趾趾足也
桎	章實反
足懲	直氷反
木絞	交夘反
械	口戒反
不行也	木或作止不行也
噬膚	方于反馬云柔脃肥美曰膚
未盡	津忍反下同
